spot,strike,time_to_maturity,risk_free_rate,option_type,market_price,true_volatility
100.0,70.0,0.08,0.03,call,30.167798700497997,0.24659973830033427
100.0,80.0,0.08,0.03,call,20.19192091547785,0.21642649088352064
100.0,90.0,0.08,0.03,call,10.267071348512417,0.1957319157146316
100.0,95.0,0.08,0.03,call,5.6515639339676795,0.18809055413279027
100.0,100.0,0.08,0.03,call,2.1721696521303,0.1819220913403341
100.0,105.0,0.08,0.03,call,0.4900912316678827,0.1770312693056326
100.0,110.0,0.08,0.03,call,0.05732887329763514,0.17325477763672492
100.0,120.0,0.08,0.03,call,9.874232010924702e-05,0.16851495010735335
100.0,130.0,0.08,0.03,call,1.6561650307655906e-08,0.1668290237028236
100.0,70.0,0.25,0.03,call,30.52846549626298,0.250207627383215
100.0,80.0,0.25,0.03,call,20.661717635429582,0.22003437996640138
100.0,90.0,0.25,0.03,call,11.278108640403403,0.19933980479751237
100.0,95.0,0.25,0.03,call,7.244849340261425,0.19169844321567103
100.0,100.0,0.25,0.03,call,4.071267921231453,0.18552998042321486
100.0,105.0,0.25,0.03,call,1.947651477206115,0.18063915838851335
100.0,110.0,0.25,0.03,call,0.7797081151321272,0.17686266671960568
100.0,120.0,0.25,0.03,call,0.07323713593371117,0.1721228391902341
100.0,130.0,0.25,0.03,call,0.0038194354227741034,0.17043691278570436
100.0,70.0,0.5,0.03,call,31.148184142023155,0.25451438046718433
100.0,80.0,0.5,0.03,call,21.60167603749146,0.2243411330503707
100.0,90.0,0.5,0.03,call,12.866992208667341,0.20364655788148167
100.0,95.0,0.5,0.03,call,9.15387318018145,0.19600519629964033
100.0,100.0,0.5,0.03,call,6.088822109470364,0.18983673350718416
100.0,105.0,0.5,0.03,call,3.7604928692857413,0.18494591147248265
100.0,110.0,0.5,0.03,call,2.150130291892939,0.18116941980357498
100.0,120.0,0.5,0.03,call,0.5646113866847333,0.1764295922742034
100.0,130.0,0.5,0.03,call,0.11793356967405177,0.17474366586967366
100.0,70.0,1.0,0.03,call,32.7166427089317,0.2604806609307141
100.0,80.0,1.0,0.03,call,23.75311542437396,0.23030741351390047
100.0,90.0,1.0,0.03,call,15.715772342952931,0.20961283834501143
100.0,95.0,1.0,0.03,call,12.248937794553775,0.2019714767631701
100.0,100.0,1.0,0.03,call,9.25114153819915,0.19580301397071392
100.0,105.0,1.0,0.03,call,6.765515259862028,0.19091219193601242
100.0,110.0,1.0,0.03,call,4.7948617068560395,0.18713570026710474
100.0,120.0,1.0,0.03,call,2.2175694447371015,0.18239587273773317
100.0,130.0,1.0,0.03,call,0.9495932943346155,0.18070994633320342
100.0,70.0,2.0,0.03,call,36.124226145980806,0.2662942648790848
100.0,80.0,2.0,0.03,call,27.831538628003578,0.23612101746227118
100.0,90.0,2.0,0.03,call,20.396545129306624,0.21542644229338218
100.0,95.0,2.0,0.03,call,17.109694791142324,0.20778508071154084
100.0,100.0,2.0,0.03,call,14.159326766272635,0.20161661791908467
100.0,105.0,2.0,0.03,call,11.5679433895682,0.19672579588438316
100.0,110.0,2.0,0.03,call,9.34207278021185,0.1929493042154755
100.0,120.0,2.0,0.03,call,5.931779894788594,0.1882094766861039
100.0,130.0,2.0,0.03,call,3.6974218027180896,0.18652355028157416
