day,projected_theta_pnl,daily_theta,annual_theta
1,0.3948341829192573,0.3948341829192573,99.49821409565284
2,0.7896683658385146,0.3948341829192573,99.49821409565284
3,1.1845025487577718,0.3948341829192573,99.49821409565284
4,1.5793367316770293,0.3948341829192573,99.49821409565284
5,1.9741709145962867,0.3948341829192573,99.49821409565284
6,2.3690050975155437,0.3948341829192573,99.49821409565284
7,2.763839280434801,0.3948341829192573,99.49821409565284
8,3.1586734633540585,0.3948341829192573,99.49821409565284
9,3.553507646273316,0.3948341829192573,99.49821409565284
10,3.9483418291925734,0.3948341829192573,99.49821409565284
